Gene,expression_range
AT1G03457,0.4081813896577735
AT1G03470,0.46165818694715777
AT1G03475,0.2772420535874778
AT1G03490,0.1059081205993447
AT1G03495,0.3635067732586238
AT1G03502,0.3087326869043508
AT1G03506,0.20921768587544032
AT1G03510,0.4261498488064852
AT1G03515,0.236481882967134
AT1G03520,0.3606088250357603
AT1G03530,0.4992837422504459
AT1G03540,0.2707317294173955
AT1G03545,0.2335295090964462
AT1G03550,0.4358185748822573
AT1G03560,0.34832005012871725
AT1G03570,0.1320762159468708
AT1G03590,0.5611718339945073
AT1G03600,0.5556560944350318
AT1G03610,0.6496122182627014
AT1G03620,0.5544482302560836
AT1G03630,0.4673538250413412
AT1G03650,0.4663786940925101
AT1G03660,0.4614523694203705
AT1G03670,0.1022361431632837
AT1G03680,0.5289972354885916
AT1G03687,0.5732395307288275
AT1G03700,0.44554905234051057
AT1G03710,0.196805342528398
AT1G03720,0.1022361431632837
AT1G03730,0.39678718473745955
AT1G03740,0.4081223324281842
AT1G03743,0.2520864815652282
AT1G03746,0.3738766793666787
AT1G03750,0.318162643548983
AT1G03760,0.3041659890586933
AT1G03770,0.47380431668464607
AT1G03780,0.5077410313664321
AT1G03790,1.772040261608107
AT1G03800,0.2410104607196969
AT1G03810,0.1543583049326627
AT1G03820,1.9122223772152247
AT1G03830,0.3264207902500796
AT1G03840,0.6082002215090921
AT1G03850,1.1554690810350035
AT1G03860,0.6779821068901888
AT1G03870,0.8698214867951513
AT1G03880,0.6782620923509273
AT1G03890,0.40064438918433853
AT1G03900,0.6266448395505972
AT1G03905,0.4435058515917921
AT1G03910,0.5154847461164913
AT1G03920,0.5565593519906847
AT1G03930,0.30752675926452355
AT1G03935,0.1875494641076992
AT1G03940,0.3358673600498129
AT1G03950,0.3630998505272881
AT1G03960,0.36368366229886295
AT1G03970,0.395111422821801
AT1G03980,0.34053125649800586
AT1G03982,0.1152594082255481
AT1G03987,0.1022361431632837
AT1G03990,0.5160951340635935
AT1G03993,0.2559427777375458
AT1G03997,0.1022361431632837
AT1G04000,0.3996732097253789
AT1G04003,0.1022361431632837
AT1G04007,0.23528346488273838
AT1G04010,0.3845887128010704
AT1G04013,0.1022361431632837
AT1G04017,0.1019935489625394
AT1G04020,0.5083052024018719
AT1G04023,0.1019935489625394
AT1G04027,0.1022361431632837
AT1G04030,0.6030080352826825
AT1G04033,0.18981568910955798
AT1G04037,0.11401151286501619
AT1G04040,0.9941408830756315
AT1G04043,0.1022361431632837
AT1G04047,0.1491582878224234
AT1G04050,0.2791489339021097
AT1G04053,0.2259952420850368
AT1G04057,0.1022361431632837
AT1G04063,0.1019935489625394
AT1G04067,0.1808248941657655
AT1G04070,0.5816467764974903
AT1G04073,0.1019935489625394
AT1G04077,0.14808827030131488
AT1G04080,0.5183760226379309
AT1G04083,0.1019935489625394
AT1G04087,0.1022361431632837
AT1G04090,0.271346607127948
AT1G04093,0.141287642798019
AT1G04097,0.1016524999438922
AT1G04100,0.4394456819760837
AT1G04103,0.1576028107321856
AT1G04105,0.1022361431632837
AT1G04110,0.11515546350542459
AT1G04117,0.2680692900198006
AT1G04120,0.6266400668939892
AT1G04123,0.1758006760768562
AT1G04127,0.1722007211847155
AT1G04130,0.5617708313456564
AT1G04133,0.1022361431632837
AT1G04137,0.1399612887711578
AT1G04140,0.5755180043805537
AT1G04143,0.1022361431632837
AT1G04147,0.10075254141967468
AT1G04150,0.34230168274529527
AT1G04153,0.1019935489625394
AT1G04157,0.1022361431632837
AT1G04160,0.324609016418196
AT1G04163,0.13577082609690877
AT1G04167,0.1022361431632837
AT1G04170,0.43028734879267083
AT1G04173,0.11360421139358248
AT1G04177,0.1022361431632837
AT1G04180,0.485188591788213
AT1G04183,1.5951116308011397
AT1G04187,0.1936404037167681
AT1G04190,1.0992046956803259
AT1G04193,0.1737852744644956
AT1G04197,0.3799429581598739
AT1G04200,0.33245589322353053
AT1G04203,0.1022361431632837
AT1G04207,0.1022361431632837
AT1G04210,0.427667418899473
AT1G04213,0.1382339580760853
AT1G04217,0.4119929643713038
AT1G04220,0.7375430986705327
AT1G04223,0.2404949108097791
AT1G04227,0.1505302731386049
AT1G04230,0.21342103731467837
AT1G04233,0.1022361431632837
AT1G04237,0.1361782856280173
AT1G04240,1.0670760333277431
AT1G04243,0.1022361431632837
AT1G04247,0.461817658715016
AT1G04250,0.9545016931891195
AT1G04253,0.1022361431632837
AT1G04257,0.10134379978257319
AT1G04260,0.49101341292116507
AT1G04263,0.1158459879109906
AT1G04267,0.1534613090091232
AT1G04270,0.7488052608718205
AT1G04273,0.2209708308081092
AT1G04277,0.42826090337993483
AT1G04280,0.7387873587332524
AT1G04283,0.1035427623695311
AT1G04287,0.1468422368692784
