Gene,GO_ID,GO_term
AT1G03090,GO:0006552,L-leucine catabolic process
AT1G03100,GO:0008150,biological_process
AT1G03103,GO:0008150,biological_process
AT1G03106,,
AT1G03110,GO:0006400,tRNA modification
AT1G03110,GO:0008618,7-methylguanosine metabolic process
AT1G03110,GO:0036265,RNA (guanine-N7)-methylation
AT1G03110,GO:0106004,tRNA (guanine-N7)-methylation
AT1G03120,GO:0006873,intracellular monoatomic ion homeostasis
AT1G03120,GO:0009845,seed germination
AT1G03120,GO:0010226,response to lithium ion
AT1G03130,GO:0015979,photosynthesis
AT1G03140,GO:0000350,generation of catalytic spliceosome for second transesterification step
AT1G03140,GO:0000380,"alternative mRNA splicing, via spliceosome"
AT1G03140,GO:0008380,RNA splicing
AT1G03150,GO:0006474,N-terminal protein amino acid acetylation
