Gene,Flight_Mean,Ground_Mean,Effect,P_Value,Adjusted_P_Value,Significant,-log10_p
AT4G21890,5.576154182946788,5.859237918571941,-0.2830837356251532,0.35691933880234183,0.6394052174665882,False,0.19422382426122803
AT5G22280,8.851516626976462,9.133842649854719,-0.2823260228782569,0.3569607504124215,0.6394103722944461,False,0.19422032303194714
AT5G41520,13.772468628859484,14.003838454839803,-0.23136982598031963,0.3570613792731411,0.6394840654920512,False,0.1941702726944627
AT5G18030,1.6959839202515439,2.0798633144085112,-0.38387939415696737,0.3571016010942152,0.6394840654920512,False,0.1941702726944627
AT3G04400,15.002722267259909,15.244189200901388,-0.24146693364147964,0.3570239397528526,0.6394840654920512,False,0.1941702726944627
AT5G26622,7.121997331688287,7.357422404478164,-0.23542507278987745,0.35705060158399826,0.6394840654920512,False,0.1941702726944627
AT3G01215,0.8299869402035561,1.1075524216202866,-0.27756548141673043,0.35712064730177595,0.6394840654920512,False,0.1941702726944627
AT3G49740,1.1485314719367063,0.7829258265897108,0.3656056453469956,0.3570830459215467,0.6394840654920512,False,0.1941702726944627
AT1G02080,8.532117013214187,8.766936296686323,-0.23481928347213632,0.35717080306794113,0.6395384325161888,False,0.19413335184493663
AT5G39030,0.653062851817511,0.3701499808507604,0.2829128709667506,0.3572210590816046,0.6395929730045754,False,0.1940963163487261
AT3G04995,0.8489211280536156,1.094443287971962,-0.24552215991834647,0.35726134112011587,0.6396156052514879,False,0.1940809489409159
AT1G53885,7.109007470623247,7.3945555820998745,-0.2855481114766274,0.35727563573269916,0.6396156052514879,False,0.1940809489409159
AT2G18040,11.48043433520089,11.78054479646706,-0.30011046126617025,0.35729308996189457,0.6396156052514879,False,0.1940809489409159
AT1G75460,2.833364237556552,2.3260908929556217,0.5072733446009305,0.35732560575500816,0.6396383731142201,False,0.19406548999794193
AT4G17616,7.022427537645908,7.294624648258459,-0.27219711061255136,0.35736784545495226,0.6396431066868347,False,0.19406227606184007
AT2G28520,9.010593459061107,9.245228650787716,-0.23463519172660874,0.3573652817059949,0.6396431066868347,False,0.19406227606184007
AT4G34555,11.027574965282724,11.261218716858163,-0.23364375157543904,0.35743039187589276,0.6397196172788732,False,0.19401033125002612
AT4G37640,8.637181282584022,8.875014399638854,-0.2378331170548318,0.3574847837265729,0.6397815253654154,False,0.193968304964163
AT1G07930,12.379240472825485,12.614228031644387,-0.23498755881890254,0.35752190148811036,0.6398125133033875,False,0.19394727033901976
AT4G36100,0.5821329813937424,0.3544303570418046,0.22770262435193778,0.3577125774731156,0.6399410667540915,False,0.1938600190817025
AT1G52930,10.683891334286816,10.95751485464881,-0.2736235203619941,0.35769777288053317,0.6399410667540915,False,0.1938600190817025
AT1G53710,8.155702741071535,8.452193361694796,-0.2964906206232616,0.3577066556166917,0.6399410667540915,False,0.1938600190817025
AT1G62680,5.388066635275396,5.7384154556506415,-0.3503488203752454,0.35766504909614993,0.6399410667540915,False,0.1938600190817025
AT1G04093,1.5374436088303454,1.889986453803173,-0.3525428449728276,0.3577045870610388,0.6399410667540915,False,0.1938600190817025
AT3G26220,3.173069200288312,2.738715050117361,0.43435415017095114,0.3576324119147827,0.6399410667540915,False,0.1938600190817025
AT3G21110,8.29469273960239,8.566792100753846,-0.27209936115145616,0.35775452518454043,0.6399806740594273,False,0.19383314050997835
AT2G16005,10.780656531856987,10.277901084418062,0.5027554474389255,0.35779605630322586,0.639984099158552,False,0.19383081622468395
AT2G44420,7.460645905556804,7.749376413907017,-0.28873050835021274,0.3577951024991394,0.639984099158552,False,0.19383081622468395
AT2G39340,7.891404314905557,8.121071427689598,-0.22966711278404084,0.35791780586884925,0.6401391406326665,False,0.19372561751426248
AT3G11330,8.183612772526866,8.44477297100113,-0.26116019847426486,0.3579223614327005,0.6401391406326665,False,0.19372561751426248
AT5G66880,7.88978864761036,8.110636046099948,-0.220847398489588,0.3579488981675044,0.6401511652216263,False,0.19371745965723794
AT3G05980,6.352242520120638,6.6287838019065175,-0.2765412817858799,0.3579950040938409,0.6401912932876188,False,0.19369023663183582
